SKU,台灣價格,美國價格,台灣產品名,美國產品名
MVXY3,87900.0,2499.0,13-inch iPad Pro Wi‑Fi + Cellular 2TB with standard glass - Space Black,13-inch iPad Pro Wi‑Fi + Cellular 2TB with standard glass - Space Black
MVY03,87900.0,2499.0,13-inch iPad Pro Wi‑Fi + Cellular 2TB with standard glass - Silver,13-inch iPad Pro Wi‑Fi + Cellular 2TB with standard glass - Silver
MWR63,59400.0,1699.0,11-inch iPad Pro Wi‑Fi 1TB with nano-texture glass - Space Black,11-inch iPad Pro Wi‑Fi 1TB with nano-texture glass - Space Black
MWR73,59400.0,1699.0,11-inch iPad Pro Wi‑Fi 1TB with nano-texture glass - Silver,11-inch iPad Pro Wi‑Fi 1TB with nano-texture glass - Silver
MWR83,73400.0,2099.0,11-inch iPad Pro Wi‑Fi 2TB with nano-texture glass - Space Black,11-inch iPad Pro Wi‑Fi 2TB with nano-texture glass - Space Black
MWR93,73400.0,2099.0,11-inch iPad Pro Wi‑Fi 2TB with nano-texture glass - Silver,11-inch iPad Pro Wi‑Fi 2TB with nano-texture glass - Silver
MWRF3,70400.0,1999.0,13-inch iPad Pro Wi‑Fi 1TB with nano-texture glass - Space Black,13-inch iPad Pro Wi‑Fi 1TB with nano-texture glass - Space Black
MWRG3,70400.0,1999.0,13-inch iPad Pro Wi‑Fi 1TB with nano-texture glass - Silver,13-inch iPad Pro Wi‑Fi 1TB with nano-texture glass - Silver
MWRH3,84400.0,2399.0,13-inch iPad Pro Wi‑Fi 2TB with nano-texture glass - Space Black,13-inch iPad Pro Wi‑Fi 2TB with nano-texture glass - Space Black
MWRJ3,84400.0,2399.0,13-inch iPad Pro Wi‑Fi 2TB with nano-texture glass - Silver,13-inch iPad Pro Wi‑Fi 2TB with nano-texture glass - Silver
MWRP3,66400.0,1899.0,11-inch iPad Pro Wi‑Fi + Cellular 1TB with nano-texture glass - Space Black,11-inch iPad Pro Wi‑Fi + Cellular 1TB with nano-texture glass - Space Black
MWRQ3,66400.0,1899.0,11-inch iPad Pro Wi‑Fi + Cellular 1TB with nano-texture glass - Silver,11-inch iPad Pro Wi‑Fi + Cellular 1TB with nano-texture glass - Silver
MWRR3,80400.0,2299.0,11-inch iPad Pro Wi‑Fi + Cellular 2TB with nano-texture glass - Space Black,11-inch iPad Pro Wi‑Fi + Cellular 2TB with nano-texture glass - Space Black
